TitreId,filmoId,typeTitreId,prefixe,titre
996,1107,1,,Citadelle sous la mer
997,1109,1,,Voyage au bout de l'enfer
998,1110,1,,C'est l'Apocalypse
999,1111,1,La,Reine africaine
1000,1112,1,La,Nuit du chasseur
1001,1118,1,,Six et demi onze
1002,1121,1,La,Petite fille aux allumettes
1003,1121,1,The,Little Match Girl
1006,1126,1,,Mon ami Ivan Lapchine
1007,1127,1,L',Épouvantail
1008,1131,1,,Double énigme
1009,1132,1,La,Fosse aux serpents
1010,1133,1,,Assurance sur la mort
1011,1134,1,La,Dame du lac
1012,1135,1,,Adieu ma belle
1013,1135,1,Le,Crime vient à la fin
1014,1135,1,,Farewell my Lovely
1015,1136,1,,2001 : L'odyssée de l'espace
1016,1136,1,,Two Thousand and One
1018,1138,1,Les,Sentiers de la gloire
1019,1139,1,,Barry Lindon
1020,1141,1,,Ultime razzia
1021,1142,1,,Deux ou trois choses que je sais d'elle
1022,1142,1,,Two or Three Things I Know about Her
1026,1151,1,,Oedipe roi
1027,1151,1,,Oedipus rex
1028,1151,1,La,Tragedia de Edipo
1030,1157,1,Le,Pirate
1031,1158,1,The,Leopard
1032,1158,1,Le,Guépard
1033,1159,1,Le,Vaisseau fantôme
1034,1162,1,La,Semaine du sphinx
1035,1163,1,L',Évasion du cinéma Liberté
